用户ID,进站名称,进站时间,出站名称,出站时间,渠道编号,价格
89a4ae779b8d82b9520c4294dab73db6,Sta125,2020/7/7 12:37,Sta41,2020/7/7 14:03,3,700
2f2e0e99a430bdcaa40cf95d989a73c5,Sta122,2020/7/7 13:37,Sta126,2020/7/7 14:22,3,500
f07d4002fc0a42220d3d44a58b94d6de,Sta126,2020/7/6 19:53,Sta107,2020/7/6 20:21,2,300
c1e90d352f094fec1ce1a68e2185bf41,Sta63,2020/7/6 11:24,Sta124,2020/7/6 12:37,3,700
6b5782a30f195e9f58ebd60766b57e78,Sta15,2020/7/6 13:04,Sta104,2020/7/6 14:21,3,700
dc028675fd3cff1fea09a07b20215bce,Sta72,2020/7/6 10:42,Sta1,2020/7/6 11:04,3,300
a29f18652b2dd0e00b8fa205ea7b706d,Sta141,2020/7/6 18:11,Sta89,2020/7/6 18:48,3,500
e372274aa3ec7be7357eb08812983e15,Sta83,2020/7/6 7:15,Sta77,2020/7/6 8:15,2,600
6b5d4915906c5af6477b50069a5c0617,Sta44,2020/7/5 15:48,Sta158,2020/7/5 15:57,2,200
ce579d5c8aa4f39bab0fa1afd5a87edd,Sta110,2020/7/5 16:10,Sta89,2020/7/5 16:18,3,200
3802a0e4f991233e26bad0ff6746f072,Sta127,2020/7/5 10:48,Sta63,2020/7/5 11:19,3,300
53e8768b1d0ca5b202232a9e69a7fae5,Sta104,2020/7/4 21:42,Sta65,2020/7/4 21:51,3,200
6125f4e818cbc02862d88f679bc8e77d,Sta49,2020/7/4 9:16,Sta5,2020/7/4 10:11,3,600
2ec81472773d324c4d7de46d27292936,Sta75,2020/7/4 11:08,Sta54,2020/7/4 11:53,2,600
535f09bdc89f93c889bc1742cb0bcbfa,Sta122,2020/7/3 13:48,Sta70,2020/7/3 14:11,2,400
31008b8505ec08af3da6dfae375324d5,Sta81,2020/7/3 16:17,Sta126,2020/7/3 16:46,3,300
eb178d171f594a170293bef804c554be,Sta80,2020/7/2 18:26,Sta150,2020/7/2 18:35,2,200
4bfdfa10ade3d1ded01ac9d6b60c8513,Sta162,2020/7/2 7:35,Sta47,2020/7/2 8:04,3,300
eae4bebc9615e112d2b3b1fe04f5fba3,Sta129,2020/7/2 15:11,Sta146,2020/7/2 15:50,3,300
c16e1e0fe096052bb45acec2ec950105,Sta54,2020/7/2 8:20,Sta4,2020/7/2 8:58,3,400
4072804665ac51de10d138b5bdd8cdb5,Sta114,2020/7/2 8:55,Sta4,2020/7/2 9:20,3,300
ccb98fa4a126c3eed504784bd419eaf3,Sta56,2020/7/2 8:46,Sta36,2020/7/2 9:21,3,500
b4655bd0eb327208bfa036bbf83d8450,Sta104,2020/6/29 6:19,Sta149,2020/6/29 6:49,2,300
881a6607c5e98ebe12c62cc82e1070b6,Sta63,2020/7/1 22:20,Sta65,2020/7/1 23:27,3,700
43c336c51ebe01347fa92a67f1bad005,Sta134,2020/6/29 16:55,Sta126,2020/6/29 17:21,2,300
5bf28c0cb05e5a1b9a87a684771abb7b,Sta115,2020/6/29 16:34,Sta56,2020/6/29 16:48,3,200
11e084b516bc3dadb1d1bedf1f9874c8,Sta74,2020/6/29 11:54,Sta40,2020/6/29 12:55,2,600
fb7a6860f44aca6a9147370f9a545084,Sta87,2020/6/30 14:58,Sta160,2020/6/30 15:12,3,200
383792dc7f519b8b26ba2d91ce2bda88,Sta103,2020/6/30 7:14,Sta87,2020/6/30 7:36,3,300
d71d34d1674e919c49e01de2289a217c,Sta15,2020/6/30 11:32,Sta23,2020/6/30 11:51,3,300
0866df1c517eed7550514c9cce618762,Sta63,2020/6/28 14:42,Sta74,2020/6/28 15:43,3,600
d105887ea41197804858cba118519889,Sta162,2020/6/27 8:15,Sta168,2020/6/27 8:36,3,200
51cf0026290af70f5f0c0557bc87d236,Sta21,2020/6/27 7:38,Sta5,2020/6/27 8:03,3,300
4aa5efffdf86c25847486bc8de7f4863,Sta148,2020/6/24 13:01,Sta73,2020/6/24 13:31,3,200
2d5cf2fd9c2037d2ee78161221bda1b4,Sta138,2020/6/26 13:51,Sta52,2020/6/26 14:43,2,400
1e34c1f4902ccb2b034f02add19a5b28,Sta57,2020/6/25 9:44,Sta127,2020/6/25 10:09,3,300
d6b84b95fe51b6baa072b1967b76e8ae,Sta127,2020/6/25 19:15,Sta55,2020/6/25 20:09,2,500
9241eba1506f0001fe43d88002df15cb,Sta104,2020/6/24 18:43,Sta65,2020/6/24 18:52,3,200
fcef9f597bdc3639752fc4802c76c033,Sta48,2020/6/24 8:42,Sta9,2020/6/24 9:13,3,400
cad6522fdea5e2dfb438f8fa62b6120f,Sta90,2020/6/24 18:54,Sta31,2020/6/24 19:10,3,200
7156c0fa64bb35674e1d016e567141b3,Sta20,2020/6/24 20:55,Sta40,2020/6/24 21:17,3,300
a0f1ac07a2f199e66f923eb76bced880,Sta47,2020/6/24 20:08,Sta134,2020/6/24 20:50,3,400
981a21a99a772346b3f1e08315640b79,Sta78,2020/6/21 15:16,Sta79,2020/6/21 15:28,2,200
ce88cc3ec7928bac37aca194ac5f64bd,Sta40,2020/6/23 8:25,Sta108,2020/6/23 8:57,3,300
1abeeb7b353c152f8c81635cd0b900ee,Sta61,2020/6/23 17:56,Sta67,2020/6/23 18:31,3,400
dbf6807640bbe7f151a4f60e8732a52f,Sta153,2020/6/23 19:06,Sta157,2020/6/23 20:14,3,600
1c40d0b38dc9f4b19cd6aa892e820823,Sta125,2020/6/22 17:35,Sta15,2020/6/22 18:37,3,600
901304a436a18e05964d67afcbca4b52,Sta79,2020/6/22 13:36,Sta129,2020/6/22 13:56,3,200
cd3829e424b750c06ca0f3cfb5950b76,Sta126,2020/6/22 10:50,Sta30,2020/6/22 11:11,1,300
ca5b109e8574acccd729a9d6123169d6,Sta131,2020/6/22 7:50,Sta2,2020/6/22 8:18,2,300
24b81392bf9a0f34e3355e1f16965ea1,Sta126,2020/6/22 15:43,Sta30,2020/6/22 16:01,3,300
6af6176cfc3092ddca67e177a01a660c,Sta67,2020/6/22 19:14,Sta126,2020/6/22 19:31,3,300
776b5b05a039d9304259862581e6798d,Sta162,2020/6/22 13:25,Sta126,2020/6/22 13:39,3,200
2293105500119a933933ee74e797449e,Sta127,2020/6/21 15:30,Sta30,2020/6/21 15:58,3,300
0c5c3764411af47c5453bd494f7e5e40,Sta112,2020/6/21 18:18,Sta115,2020/6/21 19:16,3,600
4b3b08a45088a453ef858110343653b3,Sta160,2020/6/20 9:25,Sta134,2020/6/20 10:04,3,500
fe1689d3da274b468b430cac3a1479a8,Sta63,2020/6/20 9:38,Sta134,2020/6/20 10:11,3,300
f68845ee79d378f174edce59389e6ab9,Sta89,2020/6/20 13:22,Sta16,2020/6/20 13:58,3,400
877aef86e3a6d0ebd22345922a1143ba,Sta100,2020/6/20 9:28,Sta67,2020/6/20 9:55,2,400
34f5c53ec93df5c694bc5872edd9dda1,Sta118,2020/6/20 9:28,Sta126,2020/6/20 9:41,2,200
3811a41522db6b08a5d9693916cb0aec,Sta8,2020/6/20 10:39,Sta29,2020/6/20 11:51,3,600
573cc9bd147b320b8eccd434870f7171,Sta134,2020/6/20 21:37,Sta70,2020/6/20 22:22,3,400
1c9e2f048fc2f7e45d5943dc79b14a87,Sta93,2020/6/20 21:08,Sta50,2020/6/20 22:01,3,500
7cddeaf0211a2ce1f55a8b3e66627b92,Sta108,2020/6/19 10:47,Sta126,2020/6/19 11:10,2,300
14dae88384d484e3fa368184b65949f0,Sta64,2020/6/19 18:25,Sta108,2020/6/19 18:38,3,300
86e54101fb19ce4a4c966a2782e6390d,Sta110,2020/6/19 18:52,Sta63,2020/6/19 19:32,2,500
dab4e23412e0d2cf3b8198bd862d2738,Sta63,2020/6/19 18:22,Sta129,2020/6/19 18:27,3,200
e62ec406bdce6b318258d0aedb50ef07,Sta76,2020/6/19 7:17,Sta67,2020/6/19 8:09,3,400
